# author : tripiana@cern.ch (please report any problems)
# date   : 23/12/2016
# source : https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom
#
DSID    FS    XSEC[pb]       K-FACTOR  FILTEREFF   REL.UNCERT
388929	51    0.0431418		1.0	1.0		0.137455
388930	51    0.0431418		1.0	1.0		0.137455
388931	51    0.0431418		1.0	1.0		0.137455
388932	51    0.0431418		1.0	1.0		0.137455
388933	51    0.0431418		1.0	1.0		0.137455
388934	51    0.0283338		1.0	1.0		0.14171
388935	51    0.0283338		1.0	1.0		0.14171
388936	51    0.0283338		1.0	1.0		0.14171
388937	51    0.0283338		1.0	1.0		0.14171
388938	51    0.0283338		1.0	1.0		0.14171
388939	51    0.0283338		1.0	1.0		0.14171
388940	51    0.0283338		1.0	1.0		0.14171
388941	51    0.0283338		1.0	1.0		0.14171
388942	51    0.0283338		1.0	1.0		0.14171
388943	51    0.0283338		1.0	1.0		0.14171
388944	51    0.0283338		1.0	1.0		0.14171
388945	51    0.0189612		1.0	1.0		0.14702
388946	51    0.0189612		1.0	1.0		0.14702
388947	51    0.0189612		1.0	1.0		0.14702
388948	51    0.0189612		1.0	1.0		0.14702
388949	51    0.0189612		1.0	1.0		0.14702
388950	51    0.0189612		1.0	1.0		0.14702
388951	51    0.0189612		1.0	1.0		0.14702
388952	51    0.0189612		1.0	1.0		0.14702
388953	51    0.0189612		1.0	1.0		0.14702
388954	51    0.0189612		1.0	1.0		0.14702
388955	51    0.0189612		1.0	1.0		0.14702
388956	51    0.0128895		1.0	1.0		0.152026
388957	51    0.0128895		1.0	1.0		0.152026
388958	51    0.0128895		1.0	1.0		0.152026
388959	51    0.0128895		1.0	1.0		0.152026
388960	51    0.0128895		1.0	1.0		0.152026
388961	51    0.0128895		1.0	1.0		0.152026
388962	51    0.0128895		1.0	1.0		0.152026
388963	51    0.0128895		1.0	1.0		0.152026
388964	51    0.0128895		1.0	1.0		0.152026
388965	51    0.0128895		1.0	1.0		0.152026
388966	51    0.0128895		1.0	1.0		0.152026
388967	51    0.00883465	1.0	1.0		0.157177
388968	51    0.00883465	1.0	1.0		0.157177
388969	51    0.00883465	1.0	1.0		0.157177
388970	51    0.00883465	1.0	1.0		0.157177
388971	51    0.00883465	1.0	1.0		0.157177
388972	51    0.00883465	1.0	1.0		0.157177
388973	51    0.00883465	1.0	1.0		0.157177
388974	51    0.00883465	1.0	1.0		0.157177
388975	51    0.00883465	1.0	1.0		0.157177
388976	51    0.00883465	1.0	1.0		0.157177
388977	51    0.00883465	1.0	1.0		0.157177
388978	51    0.00615134	1.0	1.0		0.162953
388979	51    0.00615134	1.0	1.0		0.162953
388980	51    0.00615134	1.0	1.0		0.162953
388981	51    0.00615134	1.0	1.0		0.162953
388982	51    0.00615134	1.0	1.0		0.162953
388983	51    0.00615134	1.0	1.0		0.162953
388984	51    0.00615134	1.0	1.0		0.162953
388985	51    0.00615134	1.0	1.0		0.162953
388986	51    0.00615134	1.0	1.0		0.162953
388987	51    0.00615134	1.0	1.0		0.162953
388988	51    0.00615134	1.0	1.0		0.162953
388989	51    0.00432261	1.0	1.0		0.167859
388990	51    0.00432261	1.0	1.0		0.167859
388991	51    0.00432261	1.0	1.0		0.167859
388992	51    0.00432261	1.0	1.0		0.167859
388993	51    0.00432261	1.0	1.0		0.167859
388994	51    0.00432261	1.0	1.0		0.167859
388995	51    0.00432261	1.0	1.0		0.167859
388996	51    0.00432261	1.0	1.0		0.167859
388997	51    0.00432261	1.0	1.0		0.167859
388998	51    0.00432261	1.0	1.0		0.167859
388999	51    0.00432261	1.0	1.0		0.167859
389000	51    0.00287148	1.0	1.0		0.174725
389001	51    0.00287148	1.0	1.0		0.174725
389002	51    0.00287148	1.0	1.0		0.174725
389003	51    0.00287148	1.0	1.0		0.174725
389004	51    0.00287148	1.0	1.0		0.174725
389005	51    0.00287148	1.0	1.0		0.174725
389006	51    0.00287148	1.0	1.0		0.174725
389007	51    0.00287148	1.0	1.0		0.174725
389008	51    0.00287148	1.0	1.0		0.174725
389009	51    0.00287148	1.0	1.0		0.174725
389010	51    0.00287148	1.0	1.0		0.174725
389011	51    0.00221047	1.0	1.0		0.179259
389012	51    0.00221047	1.0	1.0		0.179259
389013	51    0.00221047	1.0	1.0		0.179259
389014	51    0.00221047	1.0	1.0		0.179259
389015	51    0.00221047	1.0	1.0		0.179259
389016	51    0.00221047	1.0	1.0		0.179259
389017	51    0.00221047	1.0	1.0		0.179259
389018	51    0.00221047	1.0	1.0		0.179259
389019	51    0.00221047	1.0	1.0		0.179259
389020	51    0.00221047	1.0	1.0		0.179259
389021	51    0.00221047	1.0	1.0		0.179259
389022	51    0.00159844	1.0	1.0		0.185209
389023	51    0.00159844	1.0	1.0		0.185209
389024	51    0.00159844	1.0	1.0		0.185209
389025	51    0.00159844	1.0	1.0		0.185209
389026	51    0.00159844	1.0	1.0		0.185209
389027	51    0.00159844	1.0	1.0		0.185209
389028	51    0.00159844	1.0	1.0		0.185209
389029	51    0.00159844	1.0	1.0		0.185209
389030	51    0.00159844	1.0	1.0		0.185209
389031	51    0.00159844	1.0	1.0		0.185209
389032	51    0.00159844	1.0	1.0		0.185209
389033	51    0.0011583		1.0	1.0		0.193006
389034	51    0.0011583		1.0	1.0		0.193006
389035	51    0.0011583		1.0	1.0		0.193006
389036	51    0.0011583		1.0	1.0		0.193006
389037	51    0.0011583		1.0	1.0		0.193006
389038	51    0.0011583		1.0	1.0		0.193006
389039	51    0.0011583		1.0	1.0		0.193006
389040	51    0.0011583		1.0	1.0		0.193006
389041	51    0.0011583		1.0	1.0		0.193006
389042	51    0.0011583		1.0	1.0		0.193006
389043	51    0.0011583		1.0	1.0		0.193006
389044	51    0.000850345	1.0	1.0		0.201604
389045	51    0.000850345	1.0	1.0		0.201604
389046	51    0.000850345	1.0	1.0		0.201604
389047	51    0.000850345	1.0	1.0		0.201604
389048	51    0.000850345	1.0	1.0		0.201604
389049	51    0.000850345	1.0	1.0		0.201604
389050	51    0.000850345	1.0	1.0		0.201604
389051	51    0.000850345	1.0	1.0		0.201604
389052	51    0.000850345	1.0	1.0		0.201604
389053	51    0.000850345	1.0	1.0		0.201604
389054	51    0.000850345	1.0	1.0		0.201604
