# grid   : pair production of stop1 decaying to a N1. 13 TeV.
# author : cmerlass@cern.ch (please report any problems
# date   : 25/01/2017
# brief  : Based on https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom
# Filter efficiencies from AMI
#
#  DSID                 FS                   CROSSECTION[pb]      K-FACTOR             FILTEREFF            REL.UNCERT          
   390857               61                   3.78661              1.0                  0.31539              0.136877            
   390858               61                   3.78661              1.0                  0.30352              0.136877            
   390859               61                   3.78661              1.0                  0.31305              0.136877            
   390860               61                   3.78661              1.0                  0.32442              0.136877            
   390861               61                   1.83537              1.0                  0.35195              0.136985            
   390862               61                   1.83537              1.0                  0.33914              0.136985            
   390863               61                   1.83537              1.0                  0.34578              0.136985            
   390864               61                   1.83537              1.0                  0.35412              0.136985            
   390865               61                   0.948333             1.0                  0.38432              0.134559            
   390866               61                   0.948333             1.0                  0.36697              0.134559            
   390867               61                   0.948333             1.0                  0.37475              0.134559            
   390868               61                   0.948333             1.0                  0.38388              0.134559            
   390869               61                   0.51848              1.0                  0.41403              0.133797            
   390870               61                   0.51848              1.0                  0.39949              0.133797            
   390871               61                   0.51848              1.0                  0.39964              0.133797            
   390872               61                   0.51848              1.0                  0.40558              0.133797            
   390873               61                   0.296128             1.0                  0.43543              0.132687            
   390874               61                   0.296128             1.0                  0.41681              0.132687            
   390875               61                   0.296128             1.0                  0.42049              0.132687            
   390876               61                   0.296128             1.0                  0.4231               0.132687            
