#date: 03/11/2015
       25/07/2016 (extended)
#information from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVgluglu
DSID	FS	CROSSSECTION [pb]	K-FACTOR	FILTEREff REL.UNCERT
387433	2 	0.0141903		1.0 		1.0 	  0.227296
387434	2 	0.0141903		1.0 		1.0 	  0.227296
387435	2 	0.0141903		1.0 		1.0 	  0.227296
387436	2 	0.0141903		1.0 		1.0 	  0.227296
387437	2 	0.0141903		1.0 		1.0 	  0.227296
387438	2 	0.0141903		1.0 		1.0 	  0.227296
387439	2 	0.0141903		1.0 		1.0 	  0.227296
387440	2 	0.163491		1.0 		1.0 	  0.176402
387441	2 	0.0627027		1.0 		1.0 	  0.189328
387442	2 	0.0627027		1.0 		1.0 	  0.189328
387446	2 	0.0252977		1.0 		1.0 	  0.209163
387447	2 	0.0252977		1.0 		1.0 	  0.209163
387448	2 	0.0460525		1.0 		1.0 	  0.1964
387449	2 	0.0460525		1.0 		1.0 	  0.1964
387861	2 	0.0856418		1.0 		1.0 	  0.184814
387862	2 	0.0856418		1.0 		1.0 	  0.184814
387863	2 	0.229367		1.0 		1.0 	  0.171975
387864	2 	0.229367		1.0 		1.0 	  0.171975
387865	2 	0.325388		1.0 		1.0 	  0.16758
387866	2 	0.325388		1.0 		1.0 	  0.16758
387867	2 	0.466352		1.0 		1.0 	  0.163378
387868	2 	0.466352		1.0 		1.0 	  0.163378
387869	2 	0.996137		1.0 		1.0 	  0.154252
387870	2 	1.4891   		1.0 		1.0 	  0.150167
387871	2 	0.677478		1.0 		1.0 	  0.158762
387872	2 	0.466352		1.0 		1.0 	  0.163378
387873	2	0.0141903		1.0	  	1.0	  0.227296
387874	2	0.0141903		1.0	  	1.0	  0.227296
387875	2	0.0141903		1.0	  	1.0	  0.227296
387876	2	0.0141903		1.0	  	1.0	  0.227296
387877	2	0.00810078		1.0	  	1.0	  0.242679
387878	2	0.00810078		1.0	  	1.0	  0.242679
387879	2	0.00810078		1.0	  	1.0	  0.242679
387880  2   	0.00810078          	1.0         	1.0       0.242679
387881	2	0.00810078          	1.0         	1.0       0.242679
387882	2	0.00810078          	1.0         	1.0       0.242679
387883	2	0.00810078          	1.0         	1.0       0.242679
387884	2	0.00810078          	1.0         	1.0       0.242679
387885	2	0.00470323		1.0		1.0	  0.261021
387886  2   	0.00470323          	1.0         	1.0       0.261021
387887	2	0.00470323          	1.0         	1.0       0.261021
387888	2	0.00470323          	1.0         	1.0       0.261021
387889	2	0.00470323          	1.0         	1.0       0.261021
387890	2	0.00470323          	1.0         	1.0       0.261021
387891	2	0.00470323          	1.0         	1.0       0.261021
387892	2	0.00470323          	1.0         	1.0       0.261021
387893	2	0.00470323          	1.0         	1.0       0.261021
387894	2	0.00470323          	1.0         	1.0       0.261021
387895	2	0.00470323          	1.0         	1.0       0.261021
387896	2	0.00470323          	1.0         	1.0       0.261021
387897	2	0.00276133		1.0		1.0	  0.28108
387898	2	0.00276133		1.0		1.0	  0.28108
387899	2	0.00276133		1.0		1.0	  0.28108
387900	2	0.00276133		1.0		1.0	  0.28108
387901	2	0.00276133		1.0		1.0	  0.28108
387902	2	0.00276133		1.0		1.0	  0.28108
387903	2	0.00276133		1.0		1.0	  0.28108
387904	2	0.00276133		1.0		1.0	  0.28108
387905	2	0.00276133		1.0		1.0	  0.28108
387906	2	0.00276133		1.0		1.0	  0.28108
387907	2	0.00276133		1.0		1.0	  0.28108
387908	2	0.00276133		1.0		1.0	  0.28108
387909	2	0.00163547		1.0		1.0	  0.299045
390500	2	0.00163547		1.0		1.0	  0.299045
390501	2	0.00163547		1.0		1.0	  0.299045
390502	2	0.00163547		1.0		1.0	  0.299045
390503	2	0.00163547		1.0		1.0	  0.299045
390504	2	0.00163547		1.0		1.0	  0.299045
390505	2	0.00163547		1.0		1.0	  0.299045
390506	2	0.00163547		1.0		1.0	  0.299045
390507	2	0.00163547		1.0		1.0	  0.299045
390508	2	0.00163547		1.0		1.0	  0.299045
390509	2	0.00163547		1.0		1.0	  0.299045
390510	2	0.00163547		1.0		1.0	  0.299045
390511	2	0.000981077		1.0		1.0	  0.318422
390512	2	0.000981077		1.0		1.0	  0.318422
390513	2	0.000981077		1.0		1.0	  0.318422
390514	2	0.000981077		1.0		1.0	  0.318422
390515	2	0.000981077		1.0		1.0	  0.318422
390516	2	0.000981077		1.0		1.0	  0.318422
390517	2	0.000981077		1.0		1.0	  0.318422
390518	2	0.000981077		1.0		1.0	  0.318422
390519	2	0.000981077		1.0		1.0	  0.318422
390520	2	0.000981077		1.0		1.0	  0.318422
390521	2	0.000981077		1.0		1.0	  0.318422
390522	2	0.000981077		1.0		1.0	  0.318422
