# Cross sections for stop->stau simplified signal grid
# author: Balthasar.Schachtner@cern.ch
# date: 7.2.2017
DSID     FS    CROSSECTION[pb]    K-FACTOR     FILTEREFF    REL.UNCERT     # Masses
391153   61    0.00221047         1.0          1.0          0.179259       # 1150_490
391154   61    0.00221047         1.0          1.0          0.179259       # 1150_590
391155   61    0.00221047         1.0          1.0          0.179259       # 1150_690
391156   61    0.00221047         1.0          1.0          0.179259       # 1150_790
391157   61    0.00221047         1.0          1.0          0.179259       # 1150_890
391158   61    0.00221047         1.0          1.0          0.179259       # 1150_990
391159   61    0.00221047         1.0          1.0          0.179259       # 1150_1090
391160   61    0.00221047         1.0          1.0          0.179259       # 1150_1140
391161   61    0.00159844         1.0          1.0          0.185209       # 1200_090
391162   61    0.00159844         1.0          1.0          0.185209       # 1200_190
391163   61    0.00159844         1.0          1.0          0.185209       # 1200_290
391164   61    0.00159844         1.0          1.0          0.185209       # 1200_390
391165   61    0.00159844         1.0          1.0          0.185209       # 1200_490
391166   61    0.00159844         1.0          1.0          0.185209       # 1200_590
391167   61    0.00159844         1.0          1.0          0.185209       # 1200_690
391168   61    0.00159844         1.0          1.0          0.185209       # 1200_790
391169   61    0.00159844         1.0          1.0          0.185209       # 1200_890
391170   61    0.00159844         1.0          1.0          0.185209       # 1200_990
391171   61    0.00159844         1.0          1.0          0.185209       # 1200_1090
391172   61    0.00159844         1.0          1.0          0.185209       # 1200_1190
391173   61    0.0011583          1.0          1.0          0.193006       # 1250_090
391174   61    0.0011583          1.0          1.0          0.193006       # 1250_190
391175   61    0.0011583          1.0          1.0          0.193006       # 1250_290
391176   61    0.0011583          1.0          1.0          0.193006       # 1250_390
391177   61    0.0011583          1.0          1.0          0.193006       # 1250_490
391178   61    0.0011583          1.0          1.0          0.193006       # 1250_590
391179   61    0.0011583          1.0          1.0          0.193006       # 1250_690
391180   61    0.0011583          1.0          1.0          0.193006       # 1250_790
391181   61    0.0011583          1.0          1.0          0.193006       # 1250_890
391182   61    0.0011583          1.0          1.0          0.193006       # 1250_990
391183   61    0.0011583          1.0          1.0          0.193006       # 1250_1090
391184   61    0.0011583          1.0          1.0          0.193006       # 1250_1190
391185   61    0.0011583          1.0          1.0          0.193006       # 1250_1240
